WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
STG,m_STG_DWH_LOAD_SCMGSTATPROFT,03-DEC-18,Daily,INFORMATICA,SCMGSTATPROFT,s_m_STG_TRM_SCMGSTATPROFT
STG,m_STG_DWH_LOAD_SCMGSTATT,02-DEC-18,Daily,INFORMATICA,SCMGSTATT,s_m_STG_TRM_SCMGSTATT
STG,m_STG_DWH_LOAD_SCMG_T_CASE,29-NOV-18,Daily,INFORMATICA,SCMG_T_CASE,s_m_STG_TRM_SCMG_T_CASE
STG,m_STG_DWH_LOAD_SCMG_T_CASE_ATTR,02-DEC-18,Daily,INFORMATICA,SCMG_T_CASE_ATTR,s_m_STG_TRM_SCMG_T_CASE_ATTR
STG,m_STG_DWH_LOAD_SKAT,25-NOV-18,Daily,INFORMATICA,SKAT,s_m_STG_TRM_SKAT
STG,m_STG_DWH_LOAD_SKB1,28-NOV-18,Daily,INFORMATICA,SKB1,s_m_STG_TRM_SKB1
STG,m_STG_DWH_LOAD_SRMPROTOCOL,26-DEC-18,Daily,INFORMATICA,SRMPROTOCOL,s_m_STG_TRM_SRMPROTOCOL
STG,m_STG_DWH_LOAD_T005S,04-JUL-18,Daily,INFORMATICA,T005S,s_m_STG_TRM_T005S
STG,m_STG_DWH_LOAD_T005T,04-JUL-18,Daily,INFORMATICA,T005T,s_m_STG_TRM_T005T
STG,m_STG_DWH_LOAD_T006,07-OCT-18,Daily,INFORMATICA,T006,s_m_STG_TRM_T006
STG,m_STG_DWH_LOAD_T006A,09-OCT-18,Daily,INFORMATICA,T006A,s_m_STG_TRM_T006A
STG,m_STG_DWH_LOAD_T006T,04-OCT-18,Daily,INFORMATICA,T006T,s_m_STG_TRM_T006T
STG,m_STG_DWH_LOAD_TB003T,04-JUL-18,Daily,INFORMATICA,TB003T,s_m_STG_TRM_TB003T
STG,m_STG_DWH_LOAD_TB004T,04-JUL-18,Daily,INFORMATICA,TB004T,s_m_STG_TRM_TB004T
STG,m_STG_DWH_LOAD_TB006,04-JUL-18,Daily,INFORMATICA,TB006,s_m_STG_TRM_TB006
STG,m_STG_DWH_LOAD_TB010,04-JUL-18,Daily,INFORMATICA,TB010,s_m_STG_TRM_TB010
STG,m_STG_DWH_LOAD_TB020,04-JUL-18,Daily,INFORMATICA,TB020,s_m_STG_TRM_TB020
STG,m_STG_DWH_LOAD_TB027T,04-JUL-18,Daily,INFORMATICA,TB027T,s_m_STG_TRM_TB027T
STG,m_STG_DWH_LOAD_TB032T,04-JUL-18,Daily,INFORMATICA,TB032T,s_m_STG_TRM_TB032T
STG,m_STG_DWH_LOAD_TB037T,04-JUL-18,Daily,INFORMATICA,TB037T,s_m_STG_TRM_TB037T
STG,m_STG_DWH_LOAD_TB038,04-JUL-18,Daily,INFORMATICA,TB038,s_m_STG_TRM_TB038
STG,m_STG_DWH_LOAD_TB038A,04-JUL-18,Daily,INFORMATICA,TB038A,s_m_STG_TRM_TB038A
STG,m_STG_DWH_LOAD_TB038B,04-JUL-18,Daily,INFORMATICA,TB038B,s_m_STG_TRM_TB038B
STG,m_STG_DWH_LOAD_TB038T,04-JUL-18,Daily,INFORMATICA,TB038T,s_m_STG_TRM_TB038T
STG,m_STG_DWH_LOAD_TB039B,04-JUL-18,Daily,INFORMATICA,TB039B,s_m_STG_TRM_TB039B
STG,m_STG_DWH_LOAD_TB905,21-MAR-19,Daily,INFORMATICA,TB905,s_m_STG_TRM_TB905
STG,m_STG_DWH_LOAD_TB905T,21-MAR-19,Daily,INFORMATICA,TB905T,s_m_STG_TRM_TB905T
STG,m_STG_DWH_LOAD_TBZ9A,04-JUL-18,Daily,INFORMATICA,TBZ9A,s_m_STG_TRM_TBZ9A
STG,m_STG_DWH_LOAD_TFACT_CATT,04-JUL-18,Daily,INFORMATICA,TFACT_CATT,s_m_STG_TRM_TFACT_CATT
STG,m_STG_DWH_LOAD_TFACT_SETT,04-JUL-18,Daily,INFORMATICA,TFACT_SETT,s_m_STG_TRM_TFACT_SETT
STG,m_STG_DWH_LOAD_TFACT_TYPET,04-JUL-18,Daily,INFORMATICA,TFACT_TYPET,s_m_STG_TRM_TFACT_TYPET
STG,m_STG_DWH_LOAD_TFK001AT,27-NOV-18,Daily,INFORMATICA,TFK001AT,s_m_STG_TRM_TFK001AT
STG,m_STG_DWH_LOAD_TFK001PT,04-JUL-18,Daily,INFORMATICA,TFK001PT,s_m_STG_TRM_TFK001PT
STG,m_STG_DWH_LOAD_TFK002AT,04-JUL-18,Daily,INFORMATICA,TFK002AT,s_m_STG_TRM_TFK002AT
STG,m_STG_DWH_LOAD_TFK003T,25-NOV-18,Daily,INFORMATICA,TFK003T,s_m_STG_TRM_TFK003T
STG,m_STG_DWH_LOAD_TFK047UT,29-NOV-18,Daily,INFORMATICA,TFK047UT,s_m_STG_TRM_TFK047UT
STG,m_STG_DWH_LOAD_TFK047XT,06-DEC-18,Daily,INFORMATICA,TFK047XT,s_m_STG_TRM_TFK047XT
STG,m_STG_DWH_LOAD_TFK068FT,04-JUL-18,Daily,INFORMATICA,TFK068FT,s_m_STG_TRM_TFK068FT
